Company.Name,Quarter,Closing_Price,EPS,P.E,P.B,Turnover,Debt_to_equity_ratio,Current_ratio,Quick_ratio
Reliance Industries Ltd.,Dec-13,895.2,68.05,13.15,1.48,1166.11,0.4,1.65,1.08
Reliance Industries Ltd.,Mar-14,930.75,68.2,13.65,1.53,3960.38,0.46,1.3,0.81
Reliance Industries Ltd.,Jun-14,1015.4,69.1,14.69,1.62,4774.88,0.46,1.3,0.81
Reliance Industries Ltd.,Sep-14,945.7,69.85,13.54,1.47,3775.21,0.46,1.3,0.81
Reliance Industries Ltd.,Dec-14,891.15,68.51,13.01,1.35,1718.77,0.46,1.3,0.81
Reliance Industries Ltd.,Mar-15,826,70.32,11.75,1.24,3823.77,0.45,1.16,0.74
Reliance Industries Ltd.,Jun-15,1000.1,72.53,13.79,1.45,5269.98,0.45,1.16,0.74
Reliance Industries Ltd.,Sep-15,862.3,74.93,11.51,1.22,3374.35,0.45,1.16,0.74
Reliance Industries Ltd.,Dec-15,1014.6,81.74,12.41,1.39,4274.93,0.45,1.16,0.74
Reliance Industries Ltd.,Mar-16,1045.2,84.62,12.35,1.33,7368.81,0.42,0.66,0.44
Reliance Industries Ltd.,Jun-16,969.15,88.21,10.99,1.2,2831.79,0.42,0.66,0.44
Reliance Industries Ltd.,Sep-16,1083.7,91.79,11.81,1.31,2772.08,0.42,0.66,0.44
Reliance Industries Ltd.,Dec-16,1082.4,91.78,11.79,1.3,3877.07,0.42,0.66,0.44
State Bank Of India,Jun-05,681.9,70.77,9.64,1.42,1523.01,0.94,1.94,1.94
State Bank Of India,Sep-05,938.2,72.05,13.02,1.86,2032.14,0.94,1.94,1.94
State Bank Of India,Dec-05,908.15,72.05,12.6,1.8,1833.4,0.94,1.94,1.94
State Bank Of India,Mar-06,968.5,82.58,11.73,1.84,1782.23,1.29,1.63,1.62
State Bank Of India,Jun-06,727.75,74.52,9.77,1.35,1142.4,1.29,1.63,1.62
State Bank Of India,Sep-06,1028.65,74.52,13.8,1.9,1133.03,1.29,1.63,1.62
State Bank Of India,Dec-06,1245.6,75.19,16.57,2.21,731.18,1.29,1.63,1.62
State Bank Of India,Mar-07,994.45,74.24,13.4,1.71,1285.56,1.29,1.63,1.62
State Bank Of India,Jun-07,1525.8,90.36,16.89,2.57,4468.51,1.79,1.73,1.72
State Bank Of India,Sep-07,1945.85,102.28,19.03,3.13,5171.78,1.79,1.73,1.72
State Bank Of India,Dec-07,2371.15,124.52,19.04,3.45,833.91,1.79,1.73,1.72
State Bank Of India,Mar-08,1600.25,106.34,15.05,2.06,1671.29,1.49,1.52,1.52
State Bank Of India,Jun-08,1111.6,109.15,10.18,1.38,894.02,1.49,1.52,1.52
State Bank Of India,Sep-08,1463.35,119.37,12.26,1.74,3225.53,1.49,1.52,1.52
State Bank Of India,Dec-08,1288.8,129.92,9.92,1.46,3479.92,1.49,1.52,1.52
State Bank Of India,Mar-09,1067.1,142.8,7.47,1.17,6049.95,1.45,2.02,2.02
State Bank Of India,Jun-09,1745.3,153.67,11.36,1.84,4071.91,1.45,2.02,2.02
State Bank Of India,Sep-09,2194.95,157.29,13.95,2.22,6422.84,1.45,2.02,2.02
State Bank Of India,Dec-09,2269,157.3,14.42,2.21,5560.37,1.45,2.02,2.02
State Bank Of India,Mar-10,2078.2,144.41,14.39,2,2086.73,1.56,1.7,1.7
State Bank Of India,Jun-10,2302,153.61,14.99,2.12,2440.48,1.56,1.7,1.7
State Bank Of India,Sep-10,3240.45,153.76,21.07,2.88,9913.09,1.56,1.7,1.7
State Bank Of India,Dec-10,2811.9,159.26,17.66,2.41,5488.18,1.56,1.7,1.7
State Bank Of India,Mar-11,2765.3,114.56,24.14,2.7,13463.37,1.84,2.19,2.19
State Bank Of India,Jun-11,2404.65,93.61,25.69,2.29,6720.78,1.84,2.19,2.19
